"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description","Implemented when","Responsible actor"
"424","5, 66, 464, 684","Academia/industry/government","GDPR compliance, PbD compliance","Practice","Chhetri et al. (2022), Drev & Delak (2021), Privacy Company (2019), Cavoukian (2012)","Privacy-by-design","Technology","In order to adhere to the integrity and confidentiality principle, data are encrypted through public key encryption or disk encryption.","N/A","N/A"
"425","50, 268, 516","Academia","DPIA, PbD","Practice","Timón López (2021), van Lieshout et al. (2011), Information and privacy commission New South Wales (2020)","PIA/DPIA","PIA component","The PIA describes whether personal data is involved and the applicability of legal obligations.","PIA","N/A"
"426","505, 652, 693","Academia/industry/government","Privacy-impact-assessment","Practice","Information and privacy commission New South Wales (2020), Wright (2012), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA preparation","A preliminary threshold analysis is performed when starting a new project or when making changes to an existing one to determine whether a PIA is necessary.","PIA","N/A"
"427","510, 552, 687","Government","Privacy-by-design","Practice","Information and privacy commission New South Wales (2020), Information Commissioner's Office (ICO) (2022), Cavoukian (2012)","Policy","Policy","Implement a policy that requires all public facing documents to be written in plain language that is easily understood by the individuals whose information is the subject of the policies and procedures.","N/A","Leadership/Senior Management, Software engineers, application developers, system architect, business analyst"
"428","511, 551, 686","Government","PbD/DPbD","Practice","Information and privacy commission New South Wales (2020), Information Commissioner's Office (ICO) (2022), Cavoukian (2012)","Transparent information and communication for exercise of data rights","Contact","Make the identity and contact information of the individual(s) responsible for privacy and security available to the public and well known within the organization and link to your Privacy Management Plan.","N/A","N/A"
"429","514, 555, 556","Government","Data protection by design and default","Practice","Information and privacy commission New South Wales (2020), Information Commissioner's Office (ICO) (2022)","Third-party privacy management","Third-party","When other systems, services or products in the processing activities are used, it is ensured that only those whose designers and manufacturers take data protection issues into account are used.","N/A","N/A"
"430","543, 557, 641","Academia/government","Privacy-by-design ","Practice","Agencia Española de Protección de Datos (AEPD) (2019), Information Commissioner's Office (ICO) (2022), Deng et al. (2011)","Technology","PETs","PETS (Privacy Enhancing Technologies) are used to implement privacy design patterns with a concrete technology.","N/A","N/A"
"431","547, 567","Government","Data protection by design and default","Practice","Information Commissioner's Office (ICO) (2022), Datatilsynet (2017)","Privacy-by-design","PbD processes","When developing software that processes personal data, the methodology should include data protection by design and by default, and security by design.","N/A","N/A"
"432","55, 87, 92, 93, 103, 200, 211, 271, 337, 431, 517, 582, 702, 707","Academia/government","Privacy-impact-assessment","Practice","Timón López (2021), Kalloniatis et al (2020), Piras et al. (2020), Oetzel & Spiekermann (2012), Notario (2015), van Lieshout et al. (2011), Al-Momani et al. (2019), Ahmadia et al. (2018), Datatilsynet (2017), Information and privacy commission New South Wales (2020), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","The PIA identifies and selects the appropriate privacy & security counter measures and controls to reduce risks and the potential impact of risks on data subjects.","PIA","N/A"
"433","56, 62","Academia","Privacy-impact-assessment","Practice","Timón López (2021), Drev & Delak (2021), van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains the determination of the legal basis of the data collection.","PIA","N/A"
"434","61, 262, 579","Academia/government","Privacy-impact-assessment","Practice","Drev & Delak (2021), van Lieshout et al. (2011), Datatilsynet (2017)","PIA/DPIA","PIA component","The PIA contains the determination of the purpose of the data collection.","PIA","N/A"
"435","64, 281, 345, 387, 468, 585, 647","Academia/industry/government","PbD, cybersecurity, DPbD in software","Practice","Drev & Delak (2021), van Lieshout et al. (2011), Sion et al. (2020), Gkotsopoulou et al. (2019), Privacy Company (2019), Datatilsynet (2017), Hoepman (2014)","Data subject rights","Data subject rights facilitation","Data subjects are enabled to easily control the processing of their personal data and exercise their data rights through system design, tools, self-service dashboards, and measures.","Design & Development","N/A"
"436","651, 671","Academia","Privacy-impact-assessment","Practice","Wright (2012)","PIA/DPIA","PIA process & support","A senior executive at board level, if not the chief executive officer, signs off the PIA and is held accountable for the quality and adequacy of a PIA.","N/A","N/A"
"437","69, 109, 195, 457, 463, 508","Academia","PbD, GDPR, IoT","Practice","Drev & Delak (2021), Huth & Matthes (2019), Diamantopoulou et al. (2017), Aljeraisy et al. (2021), Privacy Company (2019), Information and privacy commission New South Wales (2020)","Privacy-by-design","Technology","Pseudonymization of the data being processed is applied.","N/A","N/A"
"438","7, 68, 115, 154, 238, 384, 397, 450, 462, 506, 519, 642, 679","Academia/industry/government","PbD, GDPR, IoT, cybersecurity","Practice","Chhetri et al. (2022), Drev & Delak (2021), Huth & Matthes (2019), Morales-Trujillo & García-Mireles (2018), Oetzel & Spiekermann (2012), Gkotsopoulou et al. (2019), Perera et al. (2020), Aljeraisy et al. (2021), Privacy Company (2019), Information and privacy commission New South Wales (2020), Koorn & Ter Horst (2011), Hoepman (2014), Cavoukian (2012)","Data processing principles","Data minimisation","Apply the minimisation principle meaning only process data that is adequate, relevant, and limited to what is necessary.","N/A","N/A"
"439","706, 708","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","Create privacy risk treatment plans that describe the risk treatment options in the PIA.","PIA","N/A"
"440","71, 166, 176, 559","Academia","Privacy-by-design","Practice","Arfaoui et al. (2020), Morales-Trujillo & García-Mireles (2018), Chaudhuri & Cavoukian (2018), Chaudhuri (2018)","Processing activity","Data identification & classification","Detect sensitive data early in the design phase and generate Sensitive Data Dictionary.","PIA","N/A"
"441","72, 97","Academia","PbD, model-based PbD","Practice","Arfaoui et al. (2020), Piras et al. (2020)","Processing activity","Processing activity","The processes, data flows, applications, technical architecture, stakeholders, and data processing activities that interact with personal data are identified and documented.","N/A","N/A"
"442","78, 118, 182, 235, 381, 448, 615","Academia","PbD in medical, PIA, IoT","Practice","Kalloniatis et al (2020), Huth & Matthes (2019), Chaudhuri & Cavoukian (2018), Oetzel & Spiekermann (2012), Gkotsopoulou et al. (2019), Aljeraisy et al. (2021), Mead et al. (2011)","Data processing principles","Purpose limitation","Clarify, Document and Limit Purposes for Collecting and Using Personal Data.","N/A","N/A"
"443","80, 368, 571","Academia/government","DPbD in cybersecurity, development","Practice","Kalloniatis et al (2020), Gkotsopoulou et al. (2019), Datatilsynet (2017)","Data processing principles","Purpose limitation","A legal basis and a purpose for the processing activities is defined.","N/A","N/A"
"444","82, 117, 240, 382, 454, 572","Academia/government","PbD, GDPR, PIA, cybersecurity","Practice","Kalloniatis et al (2020), Huth & Matthes (2019), Oetzel & Spiekermann (2012), Gkotsopoulou et al. (2019), Aljeraisy et al. (2021), Datatilsynet (2017)","Data processing principles","Storage limitation","The envisaged time limits for erasure of the different categories of data are determined and documented, Personal information must not be stored for longer than is necessary.","N/A","N/A"
"445","95, 106","Academia","Model-based PbD","Practice","Piras et al. (2020)","Audit, monitoring, & compliance","Compliance","GDPR compliance is continuously, model-based, monitored according to a GDPR plan in order to identify GDPR compliance gaps.","N/A","N/A"
"446","96, 367","Academia","Model-based PbD, cybersecurity","Practice","Piras et al. (2020), Gkotsopoulou et al. (2019)","Third-party privacy management","Third-party","Data controllers and processors or subcontractors are identified - if necessary, in the particular context - contractual relations are determined.","N/A","Business analyst"
